flight_id,rmse,aircraft_type
prc775082168,42.23755006250758,B738
prc775082239,154.79255236143786,A359
prc775092204,77.63027611758513,B752
prc775101664,204.41090698286314,A332
prc775117156,82.87721856017913,A20N
prc775122836,88.31315596795392,A320
prc775125813,85.8753779847184,A359
prc775126599,67.89767890814923,A320
prc775131289,143.55578306582547,B788
prc775133287,40.30689410609148,A321
prc775134990,116.85424811348378,B789
prc775151054,45.490152167695406,A20N
prc775171952,88.09448691904609,A20N
prc775175492,140.86835884822855,B788
prc775177752,111.83468690848062,A321
prc775194566,57.572399538018914,A20N
prc775244866,116.91914699031223,A320
prc775276447,98.03821506862553,B738
prc775295397,106.40461058423291,A20N
prc775313501,56.785946607815745,A320
prc775328606,176.8066495212913,B788
prc775332716,43.28976693237892,A320
prc775334972,82.81702292277451,A20N
prc775348074,649.6040506803344,A306
prc775355938,60.256564343951986,A20N
prc775360504,24.891404986349347,A320
prc775376835,30.664198516015478,A320
prc775399378,207.9591692228573,A359
prc775402962,50.95276264582263,A320
prc775430301,78.08012482138615,A333
prc775442295,138.90567776073593,A20N
prc775445218,50.71816075948606,A20N
prc775458319,205.26151151542444,B789
prc775461677,14.40572671362545,A321
prc775463423,41.4324525599111,A321
prc775464696,98.28471990435665,A320
prc775479160,78.0672840974299,A20N
prc775490301,131.20142908675797,B788
prc775494211,69.48652536701404,A20N
prc775508106,39.95406110670365,A20N
prc775526932,265.3230169941237,A320
prc775558022,126.02404616096565,B788
prc775562338,90.58974536781967,A320
prc775589770,141.42625641339438,A320
prc775590419,64.80301929657605,A20N
prc775602235,107.30332863979042,A320
prc775603172,39.686142791686095,B738
prc775607094,157.3796127002536,A20N
prc775851720,67.11730755314684,A320
prc775854856,334.56009968488024,A359
prc775865983,20.318811906985893,A20N
prc775891754,770.7578891040367,B788
prc775918435,28.15420152873288,A320
prc775928673,234.28801670027573,A359
prc775929624,435.68465927487597,B788
prc775935307,215.14338310149432,A359
prc775942964,34.41474683076675,A20N
prc775949530,64.30168516255993,A21N
prc775957162,278.2930273946742,A320
prc775961558,92.20812758060006,A321
prc775982954,157.0680452623214,A320
prc775993743,64.81653569244054,A320
prc775993837,196.5819828403322,A332
prc775995817,204.56540863259667,A359
prc776002567,465.6570113699521,A332
prc776004523,605.2424285337621,A320
prc776013674,320.6591549378789,B789
prc776025766,373.826063360069,A20N
prc776027761,84.11038049367572,A320
prc776032879,89.05320583805158,A20N
prc776052345,123.25938165864763,A321
prc776059863,88.28966667045394,A20N
prc776061950,55.46771991956141,A20N
prc776063825,157.07343603393903,B788
prc776067739,280.62373253454297,B77W
prc776072482,94.28406911631475,A20N
prc776096846,243.54574252840754,B788
prc776101633,138.44304532820271,B788
prc776102519,175.22252062956485,A359
prc776120283,455.8634000150818,B788
prc776123149,130.05390044557916,A20N
prc776128049,155.22964071796173,A320
prc776135717,232.00597548025803,A320
prc776136349,404.8291028024886,B744
prc776152039,514.4210997240209,A20N
prc776156395,39.43366714017701,B738
prc776178431,75.50482587131336,B789
prc776202835,180.61730355335933,A21N
prc776208799,560.9144337388864,A320
prc776220324,107.44334221610309,A359
prc776240230,51.208479803388066,A320
prc776241544,151.6525016398989,B788
prc776241875,444.28427393236365,A320
prc776245989,82.63059377331636,A20N
prc776248029,318.6294096450972,A20N
prc776248903,70.64647668950177,A21N
prc776251194,202.15358106705781,A359
prc776258583,43.67108800536591,B738
prc776259206,38.21052220195867,B788
